country,time,Em_Try,Em_Upp,Em_Bupp,E_Avg,gdp,Ed_Try,Ed_Upp,Ed_Bupp
USA,1995,85.099464,74.43557,53.826523,71.120519,7664060,33.278633,52.512836,14.20853
USA,1996,84.73156,75.092949,53.651592,71.15870033,8100201,33.91544,51.743977,14.340582
USA,1997,85.401337,75.740555,55.228508,72.12346667,8608515,34.06329,51.84911,14.087601
USA,1998,85.283928,75.792206,57.614792,72.89697533,9089168,34.871624,51.583603,13.544776
USA,1999,84.621452,76.237419,57.812458,72.890443,9660624,35.761505,51.158409,13.080087
USA,2000,85.012268,76.681938,57.756981,73.15039567,10284779,36.494774,50.94796,12.557263
USA,2001,83.946899,76.021034,58.448296,72.80540967,10621824,37.520222,49.863556,12.616223
USA,2002,83.15535,74.017136,57.027046,71.399844,10977514,38.133007,49.210739,12.656256
USA,2003,82.210899,73.312019,57.758499,71.09380567,11510670,38.42197,49.108307,12.469723
USA,2004,81.968559,72.83976,56.517056,70.44179167,12274928,39.052998,48.854782,12.092218
USA,2005,82.493523,72.789757,57.199039,70.82743967,13093726,39.054729,48.719654,12.225618
USA,2006,82.736015,73.348991,57.958363,71.34778967,13855888,39.486282,48.3102,12.203516
USA,2007,83.325432,73.612854,58.291149,71.743145,14477635,40.270866,47.640446,12.088685
USA,2008,83.107628,72.827103,56.224297,70.719676,14718582,41.10516,47.590492,11.304346
USA,2009,80.772552,68.887581,52.46368,67.37460433,14418739,41.214626,47.429943,11.355431
USA,2010,80.030045,67.935326,52.100323,66.68856467,14964372,41.662415,47.307102,11.030482
USA,2011,79.954567,67.125801,51.101292,66.06055333,15517926,42.44838,46.809719,10.741901
USA,2012,80.139328,67.468834,52.879902,66.82935467,16155254.8,43.052437,46.255409,10.692155
USA,2013,80.374336,67.758492,53.176186,67.10300467,16691517,43.910252,45.717762,10.371985
USA,2014,80.113396,67.88089,54.84893,67.61440533,17427609,44.224617,45.345833,10.429553
NZL,1995,81.505806,81.755188,63.217003,75.49266567,65769.1682,25.924784,34.509462,39.565754
NZL,1996,81.256566,79.034292,61.182285,73.824381,68919.1786,25.939383,35.424253,38.636364
NZL,1997,82.370399,80.148605,63.135017,75.218007,72350.1825,25.886049,36.076884,38.037067
NZL,1998,81.462387,79.085892,62.429726,74.32600167,73743.6145,27.84214,35.354187,36.803673
NZL,1999,81.896866,79.709686,63.565891,75.057481,78921.1381,26.960302,37.516924,35.522774
NZL,2000,82.212578,80.012154,64.795921,75.673551,82976.8743,27.84214,37.74234,34.41552
NZL,2001,83.60714,80.18084,65.96241,76.58346333,87378.7973,27.94714,38.921173,33.131687
NZL,2002,83.004349,81.208153,67.086914,77.09980533,92026.9002,31.062853,36.01668,32.920467
NZL,2003,82.737076,81.359337,67.406067,77.16749333,96506.6768,26.960302,41.439198,31.6005
NZL,2004,83.3955,82.676079,68.893494,78.321691,102536.9746,31.6005,35.267813,33.131687
NZL,2005,84.097366,84.239845,69.995422,79.444211,106147.1972,32.920467,35.479033,31.6005
NZL,2006,84.499748,84.23645,70.357254,79.69781733,116194.462,31.6005,37.336647,31.062853
NZL,2007,83.715759,84.633499,71.000168,79.783142,124124.2516,34.41552,36.659687,28.924793
NZL,2008,84.524803,83.333336,70.518951,79.45903,127199.9009,35.522774,36.530086,27.94714
